customername,year,ICCP_Winincluding Unscored & Handshake,ICCP_Loss,ICCP_WIP,line1,line2,line3
Vueling (47),2017,0,4663.836905,0,3015,1900,2700
Delta (100),2017,0,5263.15848,0,4315,1900,2700
Swiss (15),2017,0,4997.39718,0,3136,1900,2700
Jet Blue (45),2017,0,5729.59668,0,4387,1900,2700
ACG (8),2017,0,5345.366865,0,4176,1900,2700
ALC (26),2017,0,5856.037515,0,3998,1900,2700
MEA (11),2017,0,5419.362,0,3402,1900,2700
Flynas (60),2017,0,4857.027195,0,3694,1900,2700
Tata Sia (13),2017,4946.090696,0,0,3206,1900,2700
Juneyao (28),2017,4689.8325,0,0,4161,1900,2700
China Exp (29),2017,0,4985.81304,0,3530,1900,2700
Jetsmart (70),2017,0,5229.68433,0,4026,1900,2700
Aegean (50),2017,0,5044.1754,0,3681,1900,2700
ALAFCO (30),2017,0,4689.8325,0,3803,2100,2700
CDB (45),2018,0,4898.2695,0,3002,2100,2700
VivaAerobus (41),2018,0,4794.051,0,3557,2100,2700
Sichuan (8),2018,0,4794.051,0,3119,2100,2700
Peach (10),2018,5476.38,0,0,4223,2100,2700
Kuwait (15),2018,5717.985,0,0,3341,2100,2700
Macquarie (20),2018,5369,0,0,3793,2100,2700
Frontier (134),2018,0,5150.02163,0,3919,2100,2700
Jet Star (120),2018,0,5115.384,0,3513,2100,2700
Green Africa (50),2018,5061,0,0,3031,2100,2700
Norwegian (50),2018,5572,0,0,4021,2100,2700
Air France (50),2018,5636.13648,0,4751,3625,2100,2700
Vietjet (50),2018,5459,0,0,3172,0,2700
SaudiGulf (10),2018,0,0,4846.16025,3655,0,2700
ALAFCO (30),2018,5321,0,0,3703,0,2700
Qatar (50),2018,0,0,6218.034705,4151,0,3000
Azul (30),2018,0,0,4992.06615,4410,0,3000
GoAir (72),2019,0,0,5456.2422,3268,0,3000
Volaris (80),2019,0,0,5944.3752,3100,0,3000
AirAsia (6),2019,0,0,4738.412,3245,0,3000
Saudia (35),2019,0,0,5918.713412,0,0,3000
SMBC (20),2019,0,0,5527.74924,0,0,3000
SAS (35),2019,0,0,5324.77073,0,0,3000
Avolon (20),2019,0,0,5961.09855,0,0,3000
Gulf (20),2020,0,0,5222.676143,0,0,3000
