year,customername,ICCP_Winincluding Unscored & Handshake,ICCP_Loss,ICCP_WIP,line1,line2,line3
2017,aa,0,4663.836905,0,3500,2700,1900
2017,bb,0,5263.15848,0,4751,2700,1900
2017,cc,0,4997.39718,0,4397,2700,1900
2017,dd,0,5729.59668,0,4867,2700,1900
2017,ee,0,5345.366865,0,5378,2700,1900
2017,ff,0,5856.037515,0,,2700,1900
2017,gg,0,5419.362,0,,2700,1900
2017,hh,0,4857.027195,0,,2700,1900
2017,aa,4946.090696,0,0,4751,2700,1900
2017,bb,4689.8325,0,0,4397,2700,1900
2017,cc,0,4985.81304,0,4867,2700,1900
2017,dd,0,5229.68433,0,5378,2700,1900
2017,ee,0,5044.1754,0,,2700,1900
2017,ff,0,4689.8325,0,,2700,1900
2018,gg,0,4898.2695,0,,2700,1900
2018,hh,0,4794.051,0,4751,2700,1900
2018,aa,0,4794.051,0,4397,2700,1900
2018,bb,5476.38,0,0,4867,2700,1900
2018,cc,5717.985,0,0,5378,2700,1900
2018,dd,5369,0,0,,2700,1900
2018,aa,0,5150.02163,0,,2700,1900
2018,bb,0,5115.384,0,,2700,1900
2018,cc,5061,0,0,4751,2700,1900
2018,dd,5572,0,0,4397,2700,1900
2018,ee,5636.13648,0,4751,4867,2700,1900
2018,ff,5459,0,0,5378,2700,1900
2018,gg,0,0,4846.16025,,2700,1900
2018,hh,0,0,6218.034705,,3000,1900
2018,aa,0,0,4992.06615,,3000,1900
2019,bb,0,0,5456.2422,,3000,1900
2019,cc,0,0,5944.3752,,3000,1900
2019,dd,0,0,4738.412,,3000,1900
2019,ee,0,0,5918.713412,,3000,1900
2019,ff,0,0,5527.74924,,3000,
2019,gg,0,0,5324.77073,,3000,
2019,hh,0,0,5961.09855,4751,3000,
2019,aa,0,0,5222.676143,4397,3000,
2019,bb,0,0,5205.492182,4867,3000,
2019,cc,0,0,4846.16025,5378,3000,
2019,dd,0,0,5463.147295,,3000,
2019,aa,0,0,5407.513699,,3000,
2019,bb,5572.8,0,0,,3000,
2019,cc,0,0,4774.05,,3000,
2019,dd,5100.144,0,0,,3000,
2020,ee,0,0,5527.74924,,3000,
