group,year,bar,bar1,bar2,line1,line2,line2
A,2012,106,131,121,16,11,11
B,2013,113,182,164,15,19,10
C,2014,119,151,121,20,20,15
D,2015,120,113,100,15,17,10
E,2016,100,129,198,17,17,9
F,2017,178,148,104,15,11,11
G,2018,142,148,113,20,18,14
H,2019,152,121,157,16,16,10
A,2020,159,136,159,11,20,15
B,2021,200,113,134,12,16,9
C,2022,115,146,153,11,13,12
D,2023,116,137,148,17,15,12
E,2024,127,129,191,13,19,14
F,2025,133,160,153,13,17,14
G,2026,135,121,114,15,11,10
H,2027,129,131,149,17,17,11
I,2028,164,171,195,18,18,13
